,area_type,availability,total_sqft,bath,price,bhk
219,Super built-up  Area,0.0,1787.0,3.0,98.29,3.0
220,Super built-up  Area,1.0,1787.0,3.0,125.0,3.0
221,Super built-up  Area,1.0,1475.0,2.0,90.0,3.0
222,Built-up  Area,1.0,2000.0,4.0,75.5,4.0
223,Super built-up  Area,0.0,984.0,2.0,44.28,2.0
224,Super built-up  Area,0.0,1630.0,,74.82,3.0
225,Super built-up  Area,1.0,2405.0,4.0,260.0,3.0
226,Built-up  Area,1.0,1080.0,2.0,72.0,2.0
227,Plot  Area,1.0,1500.0,2.0,115.0,2.0
228,Super built-up  Area,1.0,1900.0,3.0,119.0,3.0
229,Super built-up  Area,0.0,805.0,2.0,22.14,2.0
230,Super built-up  Area,1.0,1153.0,2.0,56.4,2.0
231,Super built-up  Area,1.0,1148.0,2.0,60.0,2.0
232,Super built-up  Area,1.0,1110.0,2.0,55.0,2.0
233,Built-up  Area,1.0,1100.0,2.0,42.0,2.0
234,Super built-up  Area,1.0,1290.0,2.0,110.0,2.0
235,Super built-up  Area,1.0,1500.0,2.0,65.0,3.0
236,Super built-up  Area,0.0,1080.0,2.0,39.0,2.0
237,Super built-up  Area,0.0,1933.0,3.0,129.0,3.0
238,Built-up  Area,1.0,3500.0,5.0,150.0,5.0
239,Built-up  Area,1.0,1060.0,2.0,60.0,2.0
240,Super built-up  Area,0.0,645.0,1.0,16.45,1.0
241,Plot  Area,1.0,2600.0,8.0,180.0,8.0
242,Super built-up  Area,0.0,645.0,1.0,16.45,1.0
243,Super built-up  Area,1.0,1644.0,3.0,84.0,3.0
244,Super built-up  Area,1.0,1285.0,2.0,72.5,2.0
245,Plot  Area,1.0,1200.0,3.0,90.0,3.0
246,Super built-up  Area,1.0,910.0,2.0,40.0,2.0
247,Super built-up  Area,1.0,1577.0,3.0,70.0,3.0
248,Plot  Area,0.0,4050.0,3.0,280.0,3.0
249,Super built-up  Area,1.0,2420.0,3.0,185.0,3.0
250,Super built-up  Area,1.0,800.0,1.0,20.0,2.0
251,Built-up  Area,1.0,1060.0,2.0,55.0,2.0
252,Super built-up  Area,1.0,1270.0,2.0,93.0,2.0
253,Super built-up  Area,0.0,900.0,2.0,22.5,2.0
254,Built-up  Area,1.0,1280.0,2.0,69.0,2.0
255,Plot  Area,1.0,1200.0,2.0,95.0,4.0
256,Built-up  Area,1.0,1025.0,2.0,36.0,2.0
257,Super built-up  Area,0.0,1108.0,2.0,63.0,2.0
258,Plot  Area,1.0,1200.0,5.0,170.0,5.0
259,Super built-up  Area,1.0,3045.0,3.0,170.0,3.0
260,Plot  Area,1.0,2900.0,3.0,300.0,4.0
261,Super built-up  Area,1.0,1500.0,3.0,75.5,3.0
262,Super built-up  Area,1.0,1295.0,2.0,43.9,2.0
263,Super built-up  Area,1.0,1162.0,2.0,59.9,2.0
264,Super built-up  Area,1.0,1035.0,2.0,49.2,2.0
265,Built-up  Area,1.0,1600.0,4.0,52.8,4.0
266,Super built-up  Area,1.0,1464.0,3.0,46.0,3.0
267,Super built-up  Area,0.0,1866.0,2.0,61.58,3.0
268,Super built-up  Area,1.0,700.0,1.0,26.0,2.0
269,Super built-up  Area,1.0,1804.0,3.0,120.0,3.0
270,Super built-up  Area,1.0,913.0,2.0,32.0,2.0
271,Super built-up  Area,0.0,1868.0,3.0,131.0,3.0
272,Built-up  Area,1.0,883.0,2.0,45.0,2.0
273,Plot  Area,1.0,900.0,2.0,110.0,2.0
274,Super built-up  Area,1.0,1664.0,2.0,73.95,3.0
275,Super built-up  Area,1.0,2026.0,3.0,132.0,3.0
276,Super built-up  Area,1.0,1210.0,2.0,80.9,2.0
277,Plot  Area,1.0,4111.0,4.0,250.0,4.0
278,Super built-up  Area,1.0,1762.0,3.0,91.45,3.0
279,Super built-up  Area,1.0,1252.0,3.0,55.0,3.0
280,Built-up  Area,1.0,861.0,2.0,34.5,2.0
281,Built-up  Area,1.0,1420.0,2.0,100.0,3.0
282,Plot  Area,1.0,1450.0,6.0,250.0,6.0
283,Built-up  Area,1.0,1490.0,3.0,78.8,3.0
284,Super built-up  Area,1.0,1075.0,2.0,46.0,3.0
285,Super built-up  Area,0.0,1425.0,2.0,94.0,3.0
286,Built-up  Area,1.0,1200.0,2.0,40.0,2.0
287,Super built-up  Area,1.0,1280.0,2.0,56.0,3.0
288,Super built-up  Area,1.0,1084.0,2.0,50.0,2.0
289,Super built-up  Area,0.0,1015.0,2.0,25.88,2.0
290,Super built-up  Area,0.0,1017.0,2.0,51.25,2.0
291,Super built-up  Area,1.0,1027.0,2.0,44.0,2.0
292,Super built-up  Area,1.0,1069.0,2.0,45.0,2.0
293,Super built-up  Area,1.0,1349.0,2.0,98.2,2.0
294,Super built-up  Area,1.0,1005.0,2.0,50.0,2.0
295,Super built-up  Area,1.0,1417.0,2.0,75.0,2.0
296,Plot  Area,0.0,1475.0,3.0,98.0,3.0
297,Carpet  Area,1.0,950.0,2.0,47.0,2.0
298,Super built-up  Area,1.0,2000.0,4.0,120.0,4.0
299,Plot  Area,1.0,880.0,3.0,140.0,3.0
300,Super built-up  Area,1.0,1863.0,3.0,104.0,4.0
301,Super built-up  Area,1.0,1010.0,2.0,29.5,2.0
302,Super built-up  Area,1.0,1425.0,2.0,70.0,3.0
303,Super built-up  Area,1.0,1450.0,3.0,100.0,3.0
304,Super built-up  Area,1.0,1847.0,3.0,105.0,3.0
305,Super built-up  Area,1.0,1100.0,2.0,45.0,2.0
306,Super built-up  Area,0.0,525.0,1.0,26.0,1.0
307,Super built-up  Area,1.0,1665.0,3.0,95.0,3.0
308,Super built-up  Area,1.0,1664.0,4.0,65.0,4.0
309,Super built-up  Area,1.0,1850.0,3.0,150.0,3.0
310,Super built-up  Area,1.0,1438.0,2.0,100.0,2.0
311,Super built-up  Area,1.0,1560.0,3.0,115.0,3.0
312,Super built-up  Area,0.0,1350.0,2.0,55.55,2.0
313,Super built-up  Area,1.0,1550.0,3.0,67.0,3.0
314,Super built-up  Area,0.0,1140.0,2.0,46.5,2.0
315,Plot  Area,1.0,1200.0,5.0,180.0,5.0
316,Super built-up  Area,0.0,850.0,2.0,27.0,2.0
317,Super built-up  Area,1.0,1280.0,2.0,75.0,2.0
318,Built-up  Area,1.0,1170.0,2.0,52.0,2.0
319,Super built-up  Area,1.0,1113.0,2.0,51.0,2.0
320,Super built-up  Area,1.0,1385.0,2.0,83.09,2.0
321,Super built-up  Area,0.0,1128.0,2.0,65.0,2.0
322,Plot  Area,1.0,1200.0,2.0,128.0,2.0
323,Plot  Area,1.0,1200.0,4.0,165.0,4.0
324,Super built-up  Area,1.0,2390.0,3.0,415.0,3.0
325,Plot  Area,1.0,2400.0,4.0,400.0,4.0
326,Super built-up  Area,1.0,1464.0,3.0,56.0,3.0
327,Super built-up  Area,1.0,1200.0,2.0,55.0,2.0
328,Super built-up  Area,1.0,1200.0,2.0,52.0,2.0
329,Super built-up  Area,1.0,1150.0,2.0,55.0,3.0
330,Built-up  Area,1.0,1645.0,3.0,95.0,3.0
331,Super built-up  Area,0.0,1000.0,2.0,67.0,2.0
332,Plot  Area,1.0,2650.0,4.0,198.0,4.0
333,Super built-up  Area,1.0,1192.0,2.0,74.0,2.0
334,Super built-up  Area,1.0,2135.0,3.0,215.0,3.0
335,Super built-up  Area,0.0,1173.0,2.0,58.0,2.0
336,Built-up  Area,1.0,1020.0,2.0,45.0,2.0
337,Super built-up  Area,1.0,3122.0,6.0,230.0,4.0
338,Super built-up  Area,1.0,1600.0,3.0,64.0,3.0
339,Plot  Area,0.0,1200.0,2.0,79.0,2.0
340,Carpet  Area,1.0,1230.0,2.0,48.0,2.0
341,Super built-up  Area,1.0,1250.0,2.0,40.0,2.0
342,Super built-up  Area,1.0,1325.0,2.0,76.0,2.0
343,Built-up  Area,1.0,1850.0,3.0,150.0,3.0
344,Super built-up  Area,0.0,525.0,,21.53,1.0
345,Super built-up  Area,1.0,1200.0,2.0,65.0,2.0
346,Plot  Area,1.0,1350.0,2.0,140.0,3.0
347,Super built-up  Area,0.0,1260.0,3.0,49.36,3.0
348,Super built-up  Area,1.0,1800.0,3.0,150.0,3.0
349,Plot  Area,0.0,11.0,3.0,74.0,3.0
350,Built-up  Area,1.0,1100.0,2.0,43.25,2.0
351,Super built-up  Area,1.0,1508.0,2.0,77.0,2.0
352,Carpet  Area,1.0,1592.0,3.0,75.0,3.0
353,Super built-up  Area,1.0,1388.0,2.0,57.0,2.0
354,Super built-up  Area,0.0,630.0,1.0,28.35,1.0
355,Plot  Area,1.0,2000.0,3.0,365.0,3.0
356,Super built-up  Area,1.0,1762.0,3.0,125.0,3.0
357,Super built-up  Area,0.0,950.0,2.0,50.0,2.0
358,Super built-up  Area,1.0,3252.0,5.0,335.0,4.0
359,Super built-up  Area,0.0,1116.0,2.0,50.0,2.0
360,Super built-up  Area,1.0,1308.0,2.0,89.04,2.0
361,Super built-up  Area,1.0,1200.0,3.0,90.0,3.0
362,Plot  Area,1.0,1500.0,4.0,230.0,4.0
363,Built-up  Area,1.0,500.0,1.0,18.5,1.0
364,Super built-up  Area,1.0,1075.0,2.0,52.0,2.0
365,Super built-up  Area,0.0,530.0,1.0,11.66,1.0
366,Built-up  Area,1.0,1205.0,2.0,66.0,2.0
367,Super built-up  Area,1.0,1075.0,2.0,60.0,2.0
368,Built-up  Area,1.0,930.0,2.0,39.0,2.0
369,Super built-up  Area,1.0,1380.0,2.0,60.0,2.0
370,Super built-up  Area,1.0,2483.0,5.0,212.0,4.0
371,Built-up  Area,1.0,1166.0,2.0,55.0,2.0
372,Super built-up  Area,1.0,1050.0,2.0,65.0,2.0
373,Super built-up  Area,0.0,202371.0,3.0,275.0,3.0
374,Super built-up  Area,1.0,1200.0,2.0,46.8,2.0
375,Super built-up  Area,1.0,1600.0,2.0,108.0,3.0
376,Super built-up  Area,1.0,1935.0,3.0,110.0,3.0
377,Super built-up  Area,0.0,451.0,1.0,29.9,1.0
378,Super built-up  Area,1.0,1800.0,3.0,95.0,3.0
379,Super built-up  Area,0.0,1400.0,3.0,77.0,3.0
380,Super built-up  Area,1.0,1801.0,3.0,115.0,3.0
381,Built-up  Area,1.0,1451.0,2.0,90.0,2.0
382,Plot  Area,0.0,1200.0,1.0,36.0,2.0
383,Super built-up  Area,1.0,1160.0,2.0,44.0,2.0
384,Built-up  Area,1.0,1000.0,2.0,25.0,2.0
385,Super built-up  Area,1.0,950.0,2.0,40.0,2.0
386,Built-up  Area,0.0,1629.0,3.0,79.0,3.0
387,Built-up  Area,1.0,1580.0,2.0,134.0,3.0
388,Super built-up  Area,0.0,1826.0,3.0,121.0,3.0
389,Built-up  Area,1.0,1245.0,2.0,94.0,2.0
390,Super built-up  Area,1.0,1145.0,2.0,45.79,2.0
391,Super built-up  Area,1.0,825.0,2.0,33.0,2.0
392,Super built-up  Area,0.0,1693.0,3.0,108.0,3.0
393,Super built-up  Area,1.0,111327.0,2.0,53.0,2.0
394,Built-up  Area,1.0,1460.0,2.0,58.0,2.0
395,Built-up  Area,1.0,1050.0,2.0,32.0,2.0
396,Built-up  Area,1.0,1260.0,2.0,55.0,2.0
397,Super built-up  Area,1.0,700.0,3.0,120.0,6.0
398,Built-up  Area,1.0,1656.0,2.0,120.0,2.0
399,Super built-up  Area,1.0,1208.0,3.0,45.0,3.0
400,Super built-up  Area,1.0,1910.0,3.0,161.0,3.0
401,Super built-up  Area,1.0,3252.0,4.0,230.0,4.0
402,Plot  Area,1.0,1200.0,2.0,65.0,2.0
403,Super built-up  Area,1.0,1200.0,4.0,175.0,4.0
404,Super built-up  Area,1.0,1175.0,2.0,82.0,2.0
405,Plot  Area,1.0,1000.0,2.0,165.0,2.0
406,Plot  Area,1.0,1200.0,2.0,125.0,4.0
407,Super built-up  Area,1.0,2390.0,3.0,410.0,3.0
408,Super built-up  Area,0.0,12000.0,6.0,2200.0,7.0
409,Plot  Area,1.0,550.0,1.0,62.0,2.0
410,Super built-up  Area,1.0,3446.0,1.0,18.5,1.0
411,Super built-up  Area,1.0,1185.0,2.0,38.0,2.0
412,Super built-up  Area,1.0,750.0,2.0,38.0,2.0
413,Plot  Area,1.0,1200.0,7.0,250.0,6.0
414,Super built-up  Area,1.0,1550.0,3.0,64.5,3.0
415,Built-up  Area,1.0,1760.0,3.0,88.0,3.0
416,Super built-up  Area,1.0,1125.0,2.0,62.0,2.0
417,Plot  Area,1.0,1350.0,3.0,150.0,3.0
418,Plot  Area,0.0,1000.0,2.0,55.0,2.0
419,Built-up  Area,0.0,1090.0,2.0,31.48,2.0
420,Plot  Area,1.0,1200.0,2.0,60.0,2.0
421,Super built-up  Area,1.0,1991.0,4.0,103.0,3.0
422,Super built-up  Area,0.0,1060.0,2.0,26.5,2.0
423,Super built-up  Area,1.0,1105.0,2.0,75.0,2.0
424,Built-up  Area,1.0,985.0,2.0,67.0,2.0
425,Plot  Area,1.0,1533.0,5.0,85.0,6.0
426,Super built-up  Area,0.0,1590.0,3.0,79.0,3.0
427,Super built-up  Area,1.0,1120.0,2.0,55.0,2.0
428,Super built-up  Area,1.0,1069.0,2.0,55.0,2.0
429,Super built-up  Area,1.0,1933.0,3.0,140.0,3.0
430,Built-up  Area,0.0,1194.0,2.0,69.0,2.0
431,Super built-up  Area,1.0,1150.0,2.0,69.0,2.0
432,Super built-up  Area,1.0,1240.0,2.0,47.12,2.0
433,Super built-up  Area,1.0,1419.0,2.0,48.1,2.0
434,Plot  Area,1.0,1200.0,8.0,250.0,8.0
435,Super built-up  Area,1.0,2150.0,4.0,240.0,3.0
436,Super built-up  Area,1.0,1450.0,3.0,55.0,3.0
437,Super built-up  Area,0.0,1630.0,3.0,68.29,3.0
438,Super built-up  Area,1.0,708.0,1.0,40.0,2.0
439,Plot  Area,1.0,1000.0,4.0,110.0,3.0
440,Plot  Area,1.0,11890.0,4.0,700.0,4.0
441,Super built-up  Area,1.0,1250.0,2.0,76.0,2.0
442,Super built-up  Area,1.0,1400.0,2.0,95.0,3.0
443,Super built-up  Area,1.0,1670.0,2.0,57.0,3.0
444,Super built-up  Area,1.0,1750.0,3.0,100.0,3.0
