,area_type,location,total_sqft,bath,price,bhk
78,Super built-up  Area,5th Phase JP Nagar,2500.0,8.0,95.0,7.0
79,Super built-up  Area,5th Phase JP Nagar,1075.0,2.0,60.0,2.0
80,Super built-up  Area,6th Phase JP Nagar,1192.0,2.0,74.0,2.0
81,Super built-up  Area,6th Phase JP Nagar,1180.0,2.0,80.0,2.0
82,Super built-up  Area,6th Phase JP Nagar,3245.0,4.0,250.0,4.0
83,Built-up  Area,6th Phase JP Nagar,1645.0,3.0,100.0,3.0
84,Built-up  Area,6th Phase JP Nagar,1140.0,2.0,65.0,2.0
85,Super built-up  Area,6th Phase JP Nagar,2040.0,3.0,200.0,3.0
86,Super built-up  Area,6th Phase JP Nagar,1213.0,2.0,63.0,2.0
87,Built-up  Area,6th Phase JP Nagar,1216.0,2.0,60.0,2.0
88,Super built-up  Area,6th Phase JP Nagar,1460.0,2.0,80.0,2.0
89,Super built-up  Area,6th Phase JP Nagar,2003.0,3.0,200.0,3.0
90,Super built-up  Area,6th Phase JP Nagar,1810.0,3.0,131.0,3.0
91,Super built-up  Area,6th Phase JP Nagar,1515.0,2.0,135.0,3.0
92,Super built-up  Area,6th Phase JP Nagar,1192.0,2.0,75.0,2.0
93,Super built-up  Area,6th Phase JP Nagar,1280.0,2.0,88.0,2.0
94,Built-up  Area,7th Phase JP Nagar,1080.0,2.0,72.0,2.0
95,Super built-up  Area,7th Phase JP Nagar,1270.0,2.0,93.0,2.0
96,Built-up  Area,7th Phase JP Nagar,1420.0,2.0,100.0,3.0
97,Built-up  Area,7th Phase JP Nagar,1850.0,3.0,150.0,3.0
98,Built-up  Area,7th Phase JP Nagar,1245.0,2.0,94.0,2.0
99,Super built-up  Area,7th Phase JP Nagar,1175.0,2.0,82.0,2.0
100,Super built-up  Area,7th Phase JP Nagar,1400.0,2.0,95.0,3.0
101,Super built-up  Area,7th Phase JP Nagar,2225.0,3.0,160.0,3.0
102,Built-up  Area,7th Phase JP Nagar,1050.0,2.0,71.0,2.0
103,Super built-up  Area,7th Phase JP Nagar,1100.0,2.0,46.0,2.0
104,Built-up  Area,7th Phase JP Nagar,918.0,2.0,50.49,2.0
105,Super built-up  Area,7th Phase JP Nagar,1450.0,2.0,100.0,3.0
106,Super built-up  Area,7th Phase JP Nagar,1190.0,2.0,49.98,2.0
107,Super built-up  Area,7th Phase JP Nagar,1420.0,2.0,96.0,3.0
108,Super built-up  Area,7th Phase JP Nagar,1680.0,3.0,120.0,3.0
109,Super built-up  Area,7th Phase JP Nagar,980.0,2.0,69.0,2.0
110,Super built-up  Area,7th Phase JP Nagar,1180.0,2.0,72.0,2.0
114,Built-up  Area,7th Phase JP Nagar,1400.0,3.0,115.0,3.0
115,Super built-up  Area,7th Phase JP Nagar,1270.0,2.0,83.0,2.0
117,Super built-up  Area,7th Phase JP Nagar,2503.0,4.0,188.0,4.0
118,Super built-up  Area,7th Phase JP Nagar,2200.0,3.0,190.0,3.0
121,Super built-up  Area,7th Phase JP Nagar,1575.0,2.0,110.0,3.0
122,Super built-up  Area,7th Phase JP Nagar,1850.0,3.0,140.0,3.0
123,Built-up  Area,7th Phase JP Nagar,1575.0,2.0,120.0,3.0
124,Super built-up  Area,7th Phase JP Nagar,1850.0,3.0,150.0,3.0
125,Super built-up  Area,7th Phase JP Nagar,1680.0,3.0,120.0,3.0
126,Super built-up  Area,7th Phase JP Nagar,1175.0,2.0,82.5,2.0
129,Super built-up  Area,7th Phase JP Nagar,1215.0,2.0,90.0,2.0
130,Super built-up  Area,7th Phase JP Nagar,1050.0,2.0,75.0,2.0
131,Super built-up  Area,7th Phase JP Nagar,1300.0,3.0,89.13,3.0
132,Super built-up  Area,7th Phase JP Nagar,1130.0,2.0,73.0,2.0
133,Super built-up  Area,7th Phase JP Nagar,1450.0,3.0,100.0,3.0
135,Super built-up  Area,7th Phase JP Nagar,1050.0,2.0,50.0,2.0
136,Super built-up  Area,7th Phase JP Nagar,1275.0,2.0,87.0,2.0
138,Super built-up  Area,7th Phase JP Nagar,1650.0,3.0,110.0,3.0
139,Built-up  Area,7th Phase JP Nagar,850.0,2.0,42.0,2.0
140,Built-up  Area,7th Phase JP Nagar,1680.0,3.0,117.0,3.0
141,Super built-up  Area,7th Phase JP Nagar,1850.0,3.0,150.0,3.0
142,Super built-up  Area,7th Phase JP Nagar,1236.0,2.0,61.33,2.0
143,Super built-up  Area,7th Phase JP Nagar,1000.0,2.0,53.0,2.0
144,Super built-up  Area,7th Phase JP Nagar,1680.0,3.0,125.0,3.0
145,Super built-up  Area,7th Phase JP Nagar,1675.0,2.0,135.0,3.0
146,Super built-up  Area,7th Phase JP Nagar,1187.0,2.0,59.0,2.0
147,Super built-up  Area,7th Phase JP Nagar,1850.0,3.0,155.0,3.0
148,Built-up  Area,7th Phase JP Nagar,1000.0,2.0,61.0,2.0
149,Super built-up  Area,7th Phase JP Nagar,1460.0,2.0,100.0,3.0
150,Super built-up  Area,7th Phase JP Nagar,1650.0,3.0,110.0,3.0
151,Super built-up  Area,7th Phase JP Nagar,1200.0,2.0,62.5,2.0
152,Super built-up  Area,7th Phase JP Nagar,1000.0,2.0,70.65,2.0
153,Super built-up  Area,7th Phase JP Nagar,1080.0,2.0,75.0,2.0
155,Super built-up  Area,7th Phase JP Nagar,1680.0,3.0,125.0,3.0
156,Super built-up  Area,7th Phase JP Nagar,1460.0,2.0,97.0,3.0
157,Built-up  Area,7th Phase JP Nagar,1120.0,2.0,65.0,2.0
158,Super built-up  Area,7th Phase JP Nagar,1100.0,3.0,60.0,2.0
159,Super built-up  Area,7th Phase JP Nagar,1790.0,3.0,120.0,3.0
160,Super built-up  Area,7th Phase JP Nagar,1680.0,3.0,117.0,3.0
161,Super built-up  Area,7th Phase JP Nagar,1050.0,2.0,77.0,2.0
162,Super built-up  Area,7th Phase JP Nagar,1050.0,2.0,75.0,2.0
163,Super built-up  Area,7th Phase JP Nagar,1040.0,2.0,75.0,2.0
164,Super built-up  Area,7th Phase JP Nagar,1400.0,2.0,95.0,3.0
165,Super built-up  Area,7th Phase JP Nagar,1800.0,3.0,130.0,3.0
166,Super built-up  Area,7th Phase JP Nagar,1050.0,2.0,68.0,2.0
167,Built-up  Area,7th Phase JP Nagar,1000.0,2.0,60.0,2.0
168,Super built-up  Area,7th Phase JP Nagar,1680.0,3.0,125.0,3.0
169,Super built-up  Area,7th Phase JP Nagar,1050.0,2.0,77.47,2.0
170,Super built-up  Area,7th Phase JP Nagar,1270.0,2.0,80.0,2.0
172,Super built-up  Area,7th Phase JP Nagar,1680.0,3.0,122.0,3.0
173,Super built-up  Area,7th Phase JP Nagar,1130.0,2.0,85.0,2.0
174,Super built-up  Area,7th Phase JP Nagar,1680.0,3.0,130.0,3.0
175,Built-up  Area,7th Phase JP Nagar,980.0,2.0,77.44,2.0
176,Super built-up  Area,7th Phase JP Nagar,1680.0,3.0,112.0,3.0
178,Super built-up  Area,7th Phase JP Nagar,2095.0,3.0,150.0,3.0
179,Super built-up  Area,7th Phase JP Nagar,1976.0,3.0,145.0,3.0
180,Super built-up  Area,7th Phase JP Nagar,1600.0,2.0,110.0,3.0
181,Super built-up  Area,7th Phase JP Nagar,1765.0,3.0,118.0,3.0
182,Built-up  Area,7th Phase JP Nagar,1275.0,2.0,88.0,3.0
183,Super built-up  Area,7th Phase JP Nagar,1450.0,2.0,102.0,3.0
184,Super built-up  Area,7th Phase JP Nagar,1575.0,2.0,110.0,3.0
186,Super built-up  Area,7th Phase JP Nagar,750.0,1.0,47.0,1.0
187,Super built-up  Area,7th Phase JP Nagar,990.0,2.0,50.0,2.0
188,Plot  Area,7th Phase JP Nagar,1000.0,1.0,60.0,1.0
190,Super built-up  Area,7th Phase JP Nagar,1430.0,2.0,102.0,3.0
191,Super built-up  Area,7th Phase JP Nagar,1128.0,2.0,60.0,2.0
192,Built-up  Area,7th Phase JP Nagar,1140.0,2.0,57.0,2.0
193,Super built-up  Area,7th Phase JP Nagar,1420.0,3.0,90.0,3.0
194,Super built-up  Area,7th Phase JP Nagar,1530.0,2.0,108.0,2.0
195,Super built-up  Area,8th Phase JP Nagar,1073.5,2.0,54.005,2.0
196,Super built-up  Area,8th Phase JP Nagar,451.0,1.0,29.9,1.0
198,Super built-up  Area,8th Phase JP Nagar,1062.0,2.0,42.47,2.0
200,Super built-up  Area,8th Phase JP Nagar,1455.0,3.0,73.31,3.0
201,Super built-up  Area,8th Phase JP Nagar,871.0,2.0,55.0,2.0
202,Super built-up  Area,8th Phase JP Nagar,1098.0,2.0,43.91,2.0
203,Super built-up  Area,8th Phase JP Nagar,1800.0,3.0,80.0,3.0
204,Built-up  Area,8th Phase JP Nagar,2700.0,4.0,130.0,4.0
205,Super built-up  Area,8th Phase JP Nagar,1080.0,2.0,38.0,2.0
206,Super built-up  Area,8th Phase JP Nagar,1059.0,2.0,34.5,2.0
207,Super built-up  Area,8th Phase JP Nagar,1080.0,2.0,35.0,2.0
209,Super built-up  Area,8th Phase JP Nagar,1062.0,2.0,42.47,2.0
210,Super built-up  Area,8th Phase JP Nagar,500.0,1.0,31.0,1.0
211,Super built-up  Area,8th Phase JP Nagar,1100.0,2.0,35.0,2.0
212,Super built-up  Area,8th Phase JP Nagar,2100.0,4.0,92.0,4.0
213,Super built-up  Area,8th Phase JP Nagar,1035.0,2.0,39.33,2.0
214,Super built-up  Area,8th Phase JP Nagar,909.0,2.0,40.9,2.0
215,Super built-up  Area,8th Phase JP Nagar,1431.5,3.0,72.02,3.0
216,Built-up  Area,8th Phase JP Nagar,1900.0,4.0,90.0,3.0
217,Super built-up  Area,8th Phase JP Nagar,500.0,1.0,30.0,1.0
218,Super built-up  Area,8th Phase JP Nagar,1125.0,2.0,36.94,2.0
219,Super built-up  Area,8th Phase JP Nagar,1100.0,2.0,35.0,2.0
220,Super built-up  Area,8th Phase JP Nagar,1089.0,2.0,43.55,2.0
222,Super built-up  Area,8th Phase JP Nagar,1504.0,2.0,83.0,3.0
223,Built-up  Area,8th Phase JP Nagar,2600.0,4.0,115.0,4.0
225,Super built-up  Area,8th Phase JP Nagar,1089.0,2.0,43.55,2.0
227,Super built-up  Area,8th Phase JP Nagar,1513.0,2.0,62.0,2.0
228,Built-up  Area,8th Phase JP Nagar,1298.0,2.0,59.0,2.0
229,Built-up  Area,8th Phase JP Nagar,1006.0,2.0,44.0,2.0
230,Carpet  Area,8th Phase JP Nagar,500.0,1.0,33.0,1.0
231,Super built-up  Area,8th Phase JP Nagar,1160.0,2.0,95.0,2.0
232,Super built-up  Area,8th Phase JP Nagar,1245.0,2.0,59.0,2.0
233,Super built-up  Area,8th Phase JP Nagar,1510.0,2.0,80.0,2.0
234,Super built-up  Area,8th Phase JP Nagar,3300.0,3.0,165.0,3.0
235,Built-up  Area,8th Phase JP Nagar,1730.0,5.0,75.0,5.0
238,Super built-up  Area,8th Phase JP Nagar,1046.0,2.0,48.0,2.0
240,Super built-up  Area,8th Phase JP Nagar,1408.0,3.0,80.0,3.0
242,Super built-up  Area,9th Phase JP Nagar,1005.0,2.0,50.0,2.0
244,Super built-up  Area,9th Phase JP Nagar,1100.0,2.0,65.0,2.0
245,Super built-up  Area,9th Phase JP Nagar,1080.0,2.0,37.0,2.0
246,Built-up  Area,9th Phase JP Nagar,1035.0,2.0,45.0,2.0
247,Built-up  Area,9th Phase JP Nagar,5000.0,4.0,290.0,4.0
248,Built-up  Area,9th Phase JP Nagar,1164.0,2.0,56.0,2.0
249,Super built-up  Area,9th Phase JP Nagar,1005.0,2.0,42.0,2.0
250,Super built-up  Area,9th Phase JP Nagar,1127.0,2.0,50.0,2.0
251,Super built-up  Area,9th Phase JP Nagar,1005.0,2.0,43.0,2.0
252,Built-up  Area,9th Phase JP Nagar,835.0,2.0,37.0,2.0
253,Super built-up  Area,9th Phase JP Nagar,1050.0,2.0,39.0,2.0
254,Super built-up  Area,9th Phase JP Nagar,660.0,2.0,27.0,2.0
255,Built-up  Area,9th Phase JP Nagar,600.0,1.0,20.0,1.0
256,Super built-up  Area,9th Phase JP Nagar,1466.0,2.0,71.0,2.0
257,Built-up  Area,9th Phase JP Nagar,1890.0,2.0,93.0,3.0
258,Super built-up  Area,9th Phase JP Nagar,1079.0,2.0,60.0,2.0
259,Super built-up  Area,9th Phase JP Nagar,1480.0,2.0,80.0,2.0
260,Plot  Area,9th Phase JP Nagar,1200.0,2.0,80.0,2.0
261,Super built-up  Area,9th Phase JP Nagar,905.0,2.0,32.0,2.0
262,Super built-up  Area,9th Phase JP Nagar,1073.0,2.0,52.36,2.0
263,Super built-up  Area,9th Phase JP Nagar,1780.0,3.0,88.0,3.0
265,Super built-up  Area,9th Phase JP Nagar,1522.0,3.0,90.0,3.0
268,Built-up  Area,9th Phase JP Nagar,890.0,2.0,45.0,2.0
270,Built-up  Area,9th Phase JP Nagar,5000.0,4.0,300.0,4.0
272,Super built-up  Area,9th Phase JP Nagar,1050.0,2.0,35.0,2.0
273,Super built-up  Area,AECS Layout,1100.0,2.0,45.0,2.0
274,Super built-up  Area,AECS Layout,1028.0,2.0,42.0,2.0
275,Super built-up  Area,AECS Layout,1199.0,2.0,65.0,2.0
276,Super built-up  Area,AECS Layout,1080.0,2.0,55.0,2.0
277,Super built-up  Area,AECS Layout,1123.0,2.0,64.0,2.0
278,Super built-up  Area,AECS Layout,1308.0,2.0,60.0,2.0
279,Super built-up  Area,AECS Layout,1005.0,2.0,55.0,2.0
281,Super built-up  Area,Abbigere,985.0,2.0,40.39,2.0
282,Built-up  Area,Abbigere,2200.0,6.0,68.0,6.0
283,Super built-up  Area,Abbigere,765.0,2.0,30.0,1.0
284,Super built-up  Area,Abbigere,880.0,2.0,35.0,2.0
285,Super built-up  Area,Abbigere,795.0,2.0,32.54,2.0
286,Super built-up  Area,Abbigere,1005.0,2.0,39.59,2.0
287,Super built-up  Area,Abbigere,734.0,1.0,19.82,1.0
289,Super built-up  Area,Abbigere,1020.0,2.0,41.82,2.0
290,Super built-up  Area,Abbigere,985.0,2.0,40.39,2.0
291,Built-up  Area,Abbigere,2500.0,6.0,81.0,6.0
292,Super built-up  Area,Abbigere,795.0,2.0,32.54,2.0
293,Super built-up  Area,Abbigere,1130.0,2.0,46.33,2.0
294,Super built-up  Area,Abbigere,795.0,1.0,32.6,2.0
295,Built-up  Area,Abbigere,3000.0,8.0,150.0,8.0
296,Super built-up  Area,Abbigere,985.0,2.0,38.92,2.0
297,Super built-up  Area,Abbigere,1000.0,2.0,41.0,2.0
298,Super built-up  Area,Abbigere,995.0,2.0,40.8,2.0
299,Super built-up  Area,Abbigere,1020.0,2.0,40.8,2.0
300,Super built-up  Area,Akshaya Nagar,1388.0,2.0,57.0,2.0
301,Super built-up  Area,Akshaya Nagar,1070.0,2.0,54.0,2.0
302,Built-up  Area,Akshaya Nagar,1280.0,2.0,58.0,2.0
303,Built-up  Area,Akshaya Nagar,1662.0,3.0,85.1,3.0
304,Super built-up  Area,Akshaya Nagar,1897.0,3.0,120.0,3.0
305,Super built-up  Area,Akshaya Nagar,1410.0,2.0,75.0,3.0
306,Super built-up  Area,Akshaya Nagar,1360.0,2.0,85.0,3.0
308,Super built-up  Area,Akshaya Nagar,1410.0,2.0,80.0,3.0
309,Built-up  Area,Akshaya Nagar,1662.0,3.0,85.0,3.0
310,Plot  Area,Akshaya Nagar,1080.0,4.0,75.0,4.0
311,Built-up  Area,Akshaya Nagar,1662.0,3.0,85.5,3.0
312,Built-up  Area,Akshaya Nagar,1280.0,2.0,60.0,2.0
313,Built-up  Area,Akshaya Nagar,1666.0,3.0,95.0,3.0
314,Super built-up  Area,Akshaya Nagar,1575.0,3.0,90.0,3.0
315,Super built-up  Area,Akshaya Nagar,1430.0,2.0,75.0,3.0
316,Built-up  Area,Akshaya Nagar,1419.0,2.0,73.0,3.0
317,Super built-up  Area,Akshaya Nagar,1280.0,2.0,60.0,2.0
318,Super built-up  Area,Akshaya Nagar,1200.0,2.0,50.0,2.0
319,Super built-up  Area,Akshaya Nagar,1092.0,2.0,60.0,2.0
320,Super built-up  Area,Akshaya Nagar,1690.0,3.0,85.0,3.0
322,Super built-up  Area,Akshaya Nagar,1897.0,4.0,93.0,3.0
323,Super built-up  Area,Akshaya Nagar,1884.0,3.0,98.0,3.0
324,Super built-up  Area,Akshaya Nagar,1314.0,2.0,68.8,2.0
325,Super built-up  Area,Akshaya Nagar,1690.0,3.0,85.0,3.0
326,Super built-up  Area,Akshaya Nagar,1265.0,2.0,67.0,2.0
327,Super built-up  Area,Akshaya Nagar,1126.0,2.0,55.0,2.0
329,Super built-up  Area,Akshaya Nagar,1662.0,3.0,90.0,3.0
330,Super built-up  Area,Akshaya Nagar,1420.0,2.0,75.0,3.0
331,Super built-up  Area,Akshaya Nagar,1412.0,2.0,88.0,3.0
332,Built-up  Area,Akshaya Nagar,1434.0,3.0,84.0,3.0
333,Super built-up  Area,Akshaya Nagar,1890.0,4.0,100.0,3.0
335,Super built-up  Area,Akshaya Nagar,1419.0,2.0,87.0,3.0
336,Super built-up  Area,Akshaya Nagar,1300.0,2.0,54.0,2.0
337,Super built-up  Area,Akshaya Nagar,1690.0,3.0,85.0,3.0
338,Super built-up  Area,Akshaya Nagar,1113.0,2.0,52.0,2.0
339,Super built-up  Area,Akshaya Nagar,1820.0,4.0,95.0,3.0
340,Super built-up  Area,Akshaya Nagar,1100.0,2.0,48.0,2.0
341,Super built-up  Area,Akshaya Nagar,1896.0,3.0,102.0,3.0
342,Super built-up  Area,Akshaya Nagar,1300.0,2.0,66.0,2.0
343,Super built-up  Area,Akshaya Nagar,1225.0,2.0,68.0,2.0
344,Super built-up  Area,Akshaya Nagar,1179.0,2.0,51.0,2.0
345,Super built-up  Area,Akshaya Nagar,1421.0,2.0,73.0,3.0
346,Super built-up  Area,Akshaya Nagar,1893.0,4.0,95.0,3.0
347,Built-up  Area,Akshaya Nagar,900.0,2.0,45.0,2.0
348,Super built-up  Area,Ambalipura,1105.0,2.0,75.0,2.0
349,Super built-up  Area,Ambalipura,1800.0,3.0,110.0,3.0
350,Built-up  Area,Ambalipura,1150.0,2.0,80.0,2.0
351,Super built-up  Area,Ambalipura,1250.0,2.0,66.25,2.0
352,Super built-up  Area,Ambalipura,1332.0,2.0,79.0,2.0
353,Super built-up  Area,Ambalipura,1730.0,3.0,120.0,3.0
355,Super built-up  Area,Ambalipura,1230.0,2.0,66.25,2.0
356,Super built-up  Area,Ambalipura,1351.0,2.0,77.0,2.0
360,Super built-up  Area,Ambalipura,1303.0,2.0,80.0,2.0
361,Super built-up  Area,Ambalipura,1607.0,2.0,112.0,3.0
362,Super built-up  Area,Ambalipura,770.0,1.0,43.82,1.0
363,Super built-up  Area,Ambalipura,1700.0,2.0,76.0,2.0
364,Super built-up  Area,Ambalipura,1060.0,2.0,58.5,2.0
365,Built-up  Area,Ambalipura,1650.0,3.0,100.0,3.0
366,Super built-up  Area,Ambalipura,1607.0,2.0,112.0,3.0
367,Super built-up  Area,Ambalipura,1198.0,2.0,80.0,2.0
368,Super built-up  Area,Ambedkar Nagar,1935.0,4.0,130.0,3.0
369,Super built-up  Area,Ambedkar Nagar,1424.0,2.0,90.0,2.0
370,Super built-up  Area,Ambedkar Nagar,2225.0,4.0,169.0,3.0
371,Super built-up  Area,Ambedkar Nagar,1862.0,3.0,120.0,3.0
372,Super built-up  Area,Ambedkar Nagar,1850.0,4.0,139.0,3.0
373,Super built-up  Area,Ambedkar Nagar,1936.0,4.0,126.0,3.0
374,Super built-up  Area,Ambedkar Nagar,1862.0,3.0,119.0,3.0
375,Super built-up  Area,Ambedkar Nagar,1424.0,2.0,90.0,2.0
376,Super built-up  Area,Ambedkar Nagar,2150.0,4.0,125.0,3.0
377,Built-up  Area,Ambedkar Nagar,3530.0,4.0,290.0,4.0
378,Super built-up  Area,Ambedkar Nagar,1856.0,3.0,120.0,3.0
379,Super built-up  Area,Ambedkar Nagar,1852.0,3.0,130.0,3.0
380,Super built-up  Area,Ambedkar Nagar,1850.0,4.0,120.0,3.0
381,Super built-up  Area,Ambedkar Nagar,1367.0,2.0,86.0,2.0
382,Plot  Area,Ambedkar Nagar,3565.0,4.0,255.0,4.0
383,Super built-up  Area,Ambedkar Nagar,1409.0,2.0,95.0,2.0
384,Super built-up  Area,Ambedkar Nagar,1950.0,4.0,120.0,3.0
385,Super built-up  Area,Ambedkar Nagar,1921.0,4.0,129.0,3.0
386,Super built-up  Area,Ambedkar Nagar,1920.0,4.0,121.0,3.0
387,Super built-up  Area,Ambedkar Nagar,1935.0,4.0,125.0,3.0
388,Super built-up  Area,Ambedkar Nagar,1852.0,4.0,122.0,3.0
389,Super built-up  Area,Ambedkar Nagar,1950.0,4.0,120.0,3.0
390,Super built-up  Area,Ambedkar Nagar,1852.0,3.0,125.0,3.0
391,Super built-up  Area,Ambedkar Nagar,1850.0,4.0,121.0,3.0
392,Super built-up  Area,Ambedkar Nagar,1425.0,2.0,94.0,2.0
393,Built-up  Area,Ambedkar Nagar,2395.0,4.0,150.0,3.0
394,Super built-up  Area,Amruthahalli,900.0,2.0,40.0,2.0
395,Super built-up  Area,Amruthahalli,1200.0,2.0,55.0,2.0
396,Built-up  Area,Amruthahalli,1900.0,3.0,135.0,3.0
397,Built-up  Area,Amruthahalli,924.0,2.0,45.0,2.0
398,Carpet  Area,Amruthahalli,900.0,2.0,60.0,2.0
399,Built-up  Area,Amruthahalli,1100.0,2.0,45.0,2.0
400,Super built-up  Area,Amruthahalli,1200.0,2.0,55.0,2.0
404,Super built-up  Area,Amruthahalli,1450.0,2.0,85.0,3.0
405,Super built-up  Area,Amruthahalli,1200.0,2.0,55.0,2.0
406,Super built-up  Area,Amruthahalli,1250.0,2.0,79.0,2.0
407,Super built-up  Area,Amruthahalli,1190.0,2.0,50.0,2.0
408,Super built-up  Area,Amruthahalli,1202.0,2.0,65.0,2.0
409,Super built-up  Area,Amruthahalli,1340.0,2.0,75.0,2.0
410,Super built-up  Area,Amruthahalli,2650.0,4.0,175.0,3.0
411,Built-up  Area,Amruthahalli,1450.0,2.0,90.0,3.0
412,Super built-up  Area,Amruthahalli,1025.0,2.0,42.0,2.0
